"age" "white" "educ" "female" "party" "ideol" "income" "equality" "econ.sec" "moral.trad" "obama.app"
"1" 3 1 4 1 5 6 15 1 2 4 4
"4" 5 1 3 0 2 3 11 3 4 1 4
"7" 1 1 1 1 6 4 11 2 5 1 4
"9" 5 0 4 0 6 5 11 2 3 1 4
"11" 6 1 3 0 7 6 15 4 2 3 4
"13" 6 1 4 0 7 7 14 5 3 1 4
"14" 4 0 3 1 7 4 15 1 2 4 3
"15" 5 0 3 1 7 5 16 5 1 2 3
"17" 2 1 4 0 1 1 14 2 1 3 0
"22" 4 1 2 0 1 2 13 2 1 3 0
"23" 7 1 4 1 3 2 14 2 4 1 0
"24" 4 1 4 1 3 3 16 2 2 2 4
"25" 6 1 3 1 6 5 19 3 2 5 3
"26" 3 1 4 0 3 4 16 3 1 2 1
"27" 6 1 4 1 7 4 11 1 4 5 4
"34" 5 1 3 0 3 2 17 1 2 3 0
"36" 5 1 3 0 1 2 15 1 4 2 0
"38" 6 1 3 0 1 1 10 2 1 4 0
"40" 5 1 4 0 5 5 15 1 4 2 3
"41" 6 1 2 1 7 5 12 4 3 1 4
"42" 5 1 3 0 1 6 16 2 3 1 0
"46" 3 0 3 0 6 4 11 4 5 1 4
"51" 4 1 4 0 6 7 18 3 5 1 4
"55" 4 0 2 1 5 4 8 2 3.5 1 0
"56" 3 0 3 1 7 6 14 3 1 4 4
"57" 3 1 4 0 7 7 7 4 2 1 4
"60" 2 1 4 1 1 3 14 2 5 2 0
"64" 2 1 3 0 1 2 15 1 2 3 1
"65" 5 1 3 1 7 6 16 3 2 1 4
"66" 6 1 2 1 7 3 9 1 5 2 0
"68" 3 1 4 0 3 2 7 2 1 5 0
"69" 5 0 2 1 7 6 14 4 5 1 4
"72" 5 1 3 1 7 4 15 3 4 1 4
"73" 5 1 2 0 1 1 5 3 3 3 0
"75" 6 1 2 1 7 5 11 3 2 1 3
"78" 6 1 2 1 6 4 11 3 2 1 2
"81" 7 1 4 0 2 2 11 1.5 3 1.5 0
"85" 5 0 4 1 5 4 12 3.5 5 1 3
"86" 6 1 4 0 2 2 16 2 1 4 0
"87" 4 0 2 0 6 4 6 1 5 3 4
"88" 2 1 4 1 7 6 14 4 3 1 4
"90" 1 1 2 0 5 4 13 3 1 2 4
"93" 6 1 4 0 3 4 11 2 5 1 2
"95" 4 1 3 1 6 4 15 3 1 2 3
"102" 6 1 2 1 5 2 4 1.5 5 1.5 0
"104" 3 0 4 0 5 4 15 2 3 1 4
"105" 2 1 4 1 2 4 13 3 4 1 4
"106" 2 0 4 0 4 6 16 2 3 1 2
"107" 5 0 3 1 7 5 10 4 3 1 4
"109" 1 1 3 1 7 6 7 5 2 1 4
"110" 7 1 2 0 2 3 15 1 3 5 4
"111" 4 1 3 0 3 4 18 2 1 3 3
"112" 2 1 3 0 7 3 15 1 5 2 4
"113" 2 0 3 1 7 4 8 3.5 3.5 1.5 4
"115" 4 1 3 1 5 5 9 1 4 2 4
"117" 2 1 4 1 1 2 13 1 3 2 0
"118" 5 1 3 1 3 5 13 2 1 5 1
"120" 7 1 3 0 7 4 5 1 2 3 4
"122" 6 1 2 0 1 2 13 1 3 2 0
"123" 3 1 2 1 5 4 12 1 5 3 4
"125" 7 1 3 1 1 2 15 3 2 1 0
"129" 3 1 4 0 6 6 17 5 3 1 4
"130" 5 1 3 1 3 3 14 2 1 3.5 2
"132" 4 1 3 0 3 3 12 5 1 4 0
"133" 5 1 3 1 6 5 11 3.5 3.5 2 2
"134" 4 1 2 1 1 1 15 1 4 2 0
"137" 6 1 4 0 6 6 9 4 3 1 4
"141" 3 1 4 1 5 5 16 2 1 5 4
"142" 5 1 1 0 3 2 7 1 2 3 0
"143" 5 1 2 1 5 3 12 3 2 1 4
"146" 5 1 4 0 6 4 11 2 5 1 0
"148" 3 1 2 0 1 4 12 1 5 3 0
"149" 7 1 4 1 7 5 7 5 3 2 4
"151" 3 1 4 1 5 4 14 2.5 5 1 1
"153" 4 1 3 1 3 4 17 3 2 1 4
"154" 5 1 2 1 3 2 9 2 3 1 0
"155" 4 0 4 0 1 4 17 2 4 1 0
"158" 5 1 4 1 7 6 11 1 4 5 4
"159" 3 1 4 0 6 4 13 3 5 1 4
"161" 2 1 3 1 6 6 12 2 5 1 4
"162" 5 0 3 1 2 3 13 1 4 3 0
"164" 5 1 4 1 3 5 16 1 2 4 0
"165" 7 1 2 1 1 2 8 5 1 4 0
"167" 4 1 3 0 2 4 5 2 4 1 0
"169" 4 0 4 0 3 3 14 4 3 1 3
"174" 5 1 4 1 1 2 15 2 1 3 0
"177" 6 0 2 1 7 7 1 2.5 5 1 4
"178" 5 1 4 0 5 5 16 4 2 1 4
"180" 4 1 4 1 7 6 12 5 3 1 2
"183" 4 1 4 0 3 2 18 2 4 1 0
"187" 2 1 3 1 1 2 2 3 5 1 3
"188" 5 1 3 1 1 3 5 1 3 4 2
"193" 2 1 3 0 5 4 13 1 5 2 3
"198" 6 0 3 0 7 5 11 4 2 1 4
"199" 5 1 4 0 3 4 16 4 2 1 0
"201" 4 1 4 0 5 4 6 5 3 1 4
"204" 5 1 4 1 1 2 15 1 3 4 0
"205" 1 0 3 1 5 5 12 5 4 1 3
"207" 3 1 2 0 3 1 9 1.5 1.5 4.5 0
"210" 4 0 4 0 5 4 18 5 4 2 4
"213" 1 1 3 0 7 6 16 4 3 1 4
"214" 3 0 3 0 6 4 9 3 5 2 4
"216" 2 1 2 1 5 4 16 4 2 1 0
"217" 3 1 3 1 3 4 13 1 2 5 2
"218" 3 1 3 0 3 1 7 1 2 5 0
"219" 2 0 4 0 2 4 13 2 3 1 1
"220" 5 1 4 0 7 4 8 3 4 1 4
"222" 6 1 4 1 5 6 15 5 4 1 4
"226" 5 1 4 0 2 2 10 3 1 4 0
"227" 4 0 3 1 1 2 15 1 2 5 0
"229" 7 1 2 0 3 2 10 2 1 3 0
"231" 6 1 2 1 1 2 9 1 2 5 0
"232" 4 1 3 1 3 2 14 2 5 1 2
"234" 3 1 3 1 6 5 12 2 4 1 4
"236" 5 1 4 1 1 4 16 2 1 3 0
"241" 3 1 4 0 1 4 14 1 3 2 3
"249" 4 0 2 1 6 3 5 4 5 2 3
"251" 5 1 3 1 3 2 13 2 1 4 0
"252" 7 1 4 0 2 4 11 1 5 3 0
"253" 3 1 2 0 5 3 13 3 1 2 1
"254" 5 1 4 1 7 2 11 3 5 1.5 2
"259" 4 1 3 1 7 4 1 2 4 1 1
"261" 4 1 4 0 5 4 13 3 1 5 4
"262" 6 1 3 0 7 6 19 4 2 1 4
"263" 3 1 3 1 3 2 19 3 2 1 4
"266" 6 1 3 0 6 4 10 2 5 3.5 2
"267" 5 1 4 1 6 6 19 2 3 1 4
"270" 3 0 3 1 7 4 15 2 5 1 4
"272" 2 1 4 1 1 2 19 3 1 5 0
"274" 7 0 1 1 7 5 10 1.5 3 1.5 3
"275" 6 1 2 1 6 4 12 1 3 2 4
"276" 5 1 4 0 3 2 19 1 5 2 0
"278" 6 1 2 1 1 2 11 3 1 2 0
"280" 6 1 2 1 3 3 9 4 2.5 1 0
"282" 5 1 3 1 3 3 8 1 5 2.5 1
"284" 4 1 4 0 1 2 17 1 3 2 2
"287" 2 1 4 1 2 2 15 2 1 5 0
"289" 5 1 4 1 2 3 13 2 4 1 1
"290" 6 1 2 1 3 3 12 2 1 3 0
"294" 5 0 3 0 5 6 9 1 2 3 4
"295" 7 1 3 0 7 6 10 4 2 1 4
"297" 5 1 4 0 6 5 12 2 4 2 3
"298" 4 1 4 1 6 4 15 1 5 4 3
"299" 4 0 2 0 5 4 16 3 1 2 0
"300" 1 1 3 1 1 2 16 2 4 1 1
"301" 6 1 3 0 3 4 7 1 4 2 1
"303" 6 1 2 1 4 4 8 1 4 2 1
"304" 2 1 4 0 1 4 15 2 4 1 0
"305" 7 1 2 0 7 4 7 2 5 1 4
"308" 2 1 4 0 6 5 3 4 3 1 4
"311" 7 1 4 0 3 2 14 3 2 1 1
"312" 2 1 3 1 3 4 6 3 4 1 0
"315" 4 0 3 1 7 4 12 3.5 5 1.5 4
"316" 4 1 3 0 3 3 15 1 3 2 0
"317" 6 1 3 0 1 2 15 1 3 2 1
"319" 4 0 2 0 7 5 6 2 5 1 4
"320" 7 1 1 0 2 3 15 2 2 2 2
"323" 2 1 3 1 5 4 12 2 5 1 1
"325" 6 1 2 1 5 4 12 1 2 4 1
"330" 2 0 4 1 7 4 7 4 2 1 4
"332" 2 1 4 1 3 3 17 1 5 2 1
"336" 4 1 2 1 5 4 12 3 1.5 5 3
"338" 6 1 3 1 5 4 11 1 2 3 4
"339" 5 1 3 0 2 3 14 4 5 1 3
"342" 6 1 2 0 3 2 14 2 3 1 3
"343" 5 1 4 0 6 5 14 5 1 2 4
"345" 3 1 4 1 7 6 19 5 4 1 4
"346" 5 1 4 0 7 6 14 4 5 1 4
"348" 6 1 3 1 1 2 6 1 2 3 0
"349" 3 1 3 1 7 5 10 3 2 1 4
"353" 5 0 4 1 6 4 11 2 4 1 3
"354" 5 1 2 0 3 4 10 4 2 1 0
"359" 2 1 4 1 2 1 13 1 2 4 3
"363" 5 1 4 1 5 4 13 3 2 1 4
"364" 5 1 4 1 5 4 11 4 2 1 4
"368" 3 1 3 1 1 2 13 1 4 2 0
"369" 6 0 2 0 7 6 12 2 4 1 4
"370" 5 1 3 0 7 4 16 2 5 1 2
"371" 5 1 2 0 1 1 13 1 3 2 2
"378" 3 1 4 0 6 5 12 3 5 1 3
"379" 2 0 2 0 5 5 9 3 2 1 3
"382" 5 0 2 1 7 4 7 1.5 3.5 3.5 4
"385" 2 1 4 0 6 6 14 1 5 2 4
"387" 3 1 4 0 4 3 9 2 1 5 1
"389" 3 1 3 0 5 4 7 2 5 1 2
"391" 2 1 3 0 1 1 11 2 3 1 0
"395" 2 1 4 1 7 6 13 3 2 5 4
"396" 5 1 2 1 2 1 10 1 2 4 0
"397" 6 1 4 1 2 2 12 3 1 5 0
"399" 6 1 4 1 2 2 16 1 3 5 1
"400" 7 1 3 1 3 4 10 2.5 2.5 1 1
"401" 3 1 3 1 3 2 12 3.5 2 1 4
"403" 3 0 3 0 6 6 2 3 4 1 3
"405" 7 1 3 0 3 2 16 1 2 5 0
"406" 2 1 3 0 1 1 13 1 2 5 0
"407" 2 1 2 1 5 4 9 3 1 4 0
"409" 6 1 2 1 2 5 12 4 2 1 2
"410" 5 0 2 1 3 3 12 2 5 1 4
"411" 1 1 1 0 5 4 17 2 4 1 1
"412" 4 1 2 1 5 4 16 2 1 4 4
"414" 4 1 3 1 7 4 12 1 3 3 4
"416" 5 1 2 1 2 4 10 3 2 1 0
"420" 5 1 4 1 2 1 8 3 2 1 0
"422" 4 0 2 0 5 1 3 1.5 1.5 5 0
"423" 1 1 4 1 7 6 13 5 1 3 4
"424" 5 1 1 0 5 4 5 1 2 3 4
"425" 4 1 3 0 3 2 12 2 3 1 0
"427" 3 1 4 1 5 5 13 2 3 1 4
"429" 5 1 4 0 1 3 17 1 2 5 0
"430" 5 1 3 0 6 4 11 4 2 1 4
"431" 6 1 3 0 7 6 8 4 3 1 3
"433" 5 0 3 0 7 5 10 3 5 1 3
"434" 6 1 2 1 6 2 9 4 2 3 1
"435" 3 1 3 0 1 2 10 1 4 5 1
"436" 3 0 1 1 5 6 1 4 2 5 1
"437" 3 1 4 1 1 3 14 3 2 1 0
"441" 3 1 3 0 7 5 14 4 1 2 4
"444" 3 0 3 0 5 1 15 3 1 2 1
"445" 4 1 4 0 7 6 11 4 5 2 4
"446" 7 1 2 0 3 5 10 2 5 1 4
"448" 2 1 4 1 7 4 11 2 1 5 3
"449" 6 0 1 0 6 4 13 2 3 1 0
"456" 5 1 2 1 3 3 10 3.5 5 1.5 1
"457" 7 1 4 1 5 6 11 4 1.5 1.5 4
"459" 5 1 2 1 1 2 12 1 2 5 1
"460" 4 1 4 0 1 2 17 3 1 2 1
"461" 3 1 3 0 5 7 1 5 4 1 4
"464" 6 1 3 1 5 5 18 3 4 1 2
"465" 6 1 2 1 5 4 7 3 2 1 0
"466" 5 1 4 0 6 5 1 2 3 1 3
"470" 3 1 4 1 2 4 16 3 1 2 0
"471" 3 1 2 1 5 4 5 2 5 1 0
"479" 2 1 4 0 3 3 12 1 5 4 0
"481" 4 0 4 1 5 4 19 2 3.5 1 2
"482" 3 1 4 1 7 6 13 2 4 1 4
"483" 3 1 4 1 6 3 15 1 2 4 2
"484" 3 1 3 0 3 4 11 3 4 1 1
"485" 3 1 3 1 3 3 14 2 1 3 0
"487" 5 1 3 0 6 5 6 3 2 1 3
"491" 4 1 4 0 3 3 15 1 4 3 1
"492" 2 0 2 0 6 6 9 1 5 2 0
"494" 4 1 4 0 3 1 16 1 4 2 0
"496" 5 1 3 0 6 5 7 4 2 1 3
"498" 5 1 4 1 7 6 15 5 4 1 4
"501" 2 0 4 0 2 3 16 2 3 1 0
"502" 1 0 1 1 1 2 18 1 2 3 0
"504" 2 1 2 1 6 6 8 1 2 3 4
"511" 2 0 4 0 3 4 10 4 1 4 2
"512" 4 1 4 1 7 6 17 1.5 5 1.5 4
"514" 4 1 3 1 1 2 16 1 2 4 1
"517" 5 1 2 1 2 4 16 2 3 1 1
"519" 4 0 2 0 7 4 12 2 3 1 4
"520" 5 1 3 0 2 4 15 2 5 1 2
"524" 5 1 4 1 3 2 13 1 2 4 0
"526" 5 1 3 1 2 3 11 5 3.5 1.5 1
"530" 1 1 4 1 5 6 11 4 2 1 1
"531" 5 1 2 1 5 4 8 4 5 3 0
"532" 4 1 1 0 7 6 10 3 5 1 4
"533" 6 1 4 0 2 2 7 1 4 5 3
"535" 4 0 4 1 2 2 12 2 1 5 1
"536" 6 1 4 0 5 4 17 4 3 1 3
"537" 5 0 3 1 7 6 11 2 4 1 3
"538" 2 1 2 1 6 5 12 2 4 1 3
"539" 4 1 2 1 5 4 13 2 5 1 1
"541" 3 0 2 1 5 3 9 4 5 2 3
"543" 2 0 2 1 5 2 7 2 5 1 0
"544" 7 1 3 0 2 3 7 1 3 2 2
"549" 5 1 4 0 5 5 5 2.5 5 1 1
"553" 1 1 2 0 5 7 12 2 5 1 3
"556" 1 0 1 0 6 4 6 4 3 2 4
"557" 3 1 4 1 1 2 10 2 1 5 1
"558" 5 1 2 0 5 2 15 1 2 4 0
"560" 4 0 3 0 2 4 10 2 5 1 3
"562" 3 1 2 1 6 6 10 3 1 2 3
"563" 5 1 3 1 5 4 14 4 2 1 3
"564" 4 1 3 1 2 4 12 2 3 1 1
"565" 3 1 4 1 6 6 13 5 4 3 4
"567" 4 1 4 1 3 2 15 2 4 1 0
"569" 5 0 3 0 7 2 7 4 5 2 1
"570" 4 1 4 1 7 6 18 2 4 1 4
"571" 7 1 3 1 6 7 11 4 3 1 4
"572" 5 0 3 1 5 7 9 3 2 1 3
"573" 1 1 3 0 5 4 11 2 3 1 4
"575" 5 1 2 1 3 4 11 1 3 4 0
"577" 4 1 2 1 5 4 13 2 4 1 4
"578" 1 1 3 1 7 6 11 5 4 1 4
"579" 5 1 3 1 3 4 13 1 2 3 1
"580" 2 1 3 0 5 6 6 3 4 1 4
"582" 1 1 3 0 7 5 13 5 3 1 4
"584" 4 1 4 1 7 6 15 5 3 1 4
"585" 3 0 3 0 3 1 15 1 3 2 1
"587" 4 1 4 1 3 2 13 2 1 5 2
"590" 6 0 2 0 2 3 12 3 2 1 0
"595" 2 0 2 0 3 4 7 4 1 3 0
"597" 5 1 2 0 3 4 4 1 3 2 3
"599" 4 0 1 0 5 4 12 4 2 1 4
"600" 1 0 1 0 3 4 14 4 1 3 1
"604" 3 1 2 0 7 7 1 2 5 1 3
"609" 2 1 4 0 5 5 13 3.5 1 2 4
"610" 2 0 3 0 7 4 11 3 2 1 4
"612" 4 1 2 1 7 4 5 2 3 1 3
"615" 6 1 1 0 3 4 10 1 5 3 0
"619" 2 1 4 0 3 3 19 1 3 4 0
"620" 4 1 2 0 2 2 11 2 3 1 0
"621" 2 1 4 1 3 3 12 2 1 4 0
"623" 6 1 2 0 7 6 7 3 2 1 4
"624" 5 1 2 0 2 6 4 2 4 1 4
"626" 4 0 4 0 2 1 12 2 1 3 0
"627" 5 1 3 1 6 4 12 2 3 1 4
"628" 5 1 2 0 5 3 14 3 2 1 3
"632" 6 1 1 0 5 4 6 2 1 3 2
"633" 5 0 2 0 7 6 12 3 2 1 4
"644" 2 0 1 1 5 7 8 1.5 4.5 3 3
"646" 6 0 2 1 7 4 6 2 5 1 3
"647" 2 1 2 0 2 4 14 2 5 1 0
"649" 6 1 4 0 3 3 12 3 5 1 4
"650" 5 1 4 0 1 2 15 1 4 2 0
"652" 6 1 3 1 2 4 15 4 2.5 5 2
"655" 2 1 2 0 6 4 8 1 5 4 0
"657" 5 1 4 0 5 6 7 4 2 1 4
"660" 4 0 3 1 2 2 15 1 3 5 1
"662" 4 1 2 0 2 2 12 2 1 4 0
"666" 2 0 2 0 7 5 11 4 3 1 4
"667" 7 0 3 1 7 3 6 2.5 4.5 1 4
"670" 1 1 2 1 6 4 8 4.5 4.5 3 0
"671" 2 1 2 1 5 4 13 2 5 1 2
"672" 6 1 2 0 3 4 11 4 2 1 0
"674" 2 1 3 1 3 4 6 3 1 3 3
"677" 4 1 1 1 4 2 6 1.5 3 1.5 1
"678" 5 1 2 1 7 4 10 2 5 1 4
"681" 2 1 3 1 7 5 7 2 5 1 3
"688" 2 1 2 0 1 1 9 2 3 1 0
"692" 4 1 1 0 5 4 9 2 5 1 0
"695" 1 1 4 1 1 2 7 2 3 1 0
"697" 5 0 2 0 7 4 2 1 3 3 4
"703" 1 1 2 0 6 5 11 3 4 1 1
"707" 4 0 2 0 7 4 1 2.5 5 1 4
"708" 4 1 4 1 6 5 19 4 2 1 4
"710" 4 1 2 0 1 2 13 2 4 1 0
"714" 1 0 1 0 7 6 8 5 3 1 4
"715" 6 1 4 1 2 1 14 1.5 3 5 0
"716" 7 1 3 0 1 1 10 1 3 5 0
"717" 6 1 2 1 1 2 4 2 3 4 0
"719" 6 1 1 0 7 4 7 3.5 3.5 1.5 1
"723" 1 1 3 0 5 4 17 5 3 2 4
"725" 4 1 2 1 7 4 5 4 5 1.5 4
"727" 4 1 2 1 6 3 12 2 5 1 0
"728" 5 0 1 1 3 4 6 4 2 1 1
"729" 3 0 2 1 7 6 16 3 2 1 4
"730" 2 1 4 0 5 5 15 5 2 1 4
"732" 5 0 3 0 5 7 5 4 5 1 1
"734" 5 0 2 0 4 4 6 2 4.5 1 3
"735" 3 1 3 0 3 3 13 1 2 3 0
"738" 5 1 4 0 6 5 19 3 1 2 4
"741" 2 0 4 1 3 2 8 2 1 5 0
"743" 7 0 2 0 6 4 13 2 5 1 4
"746" 5 1 4 1 7 6 11 2 3 1 4
"747" 2 1 4 0 5 2 11 2 4 1 2
"748" 2 0 3 0 5 6 10 5 3 1 3
"757" 5 0 2 0 6 3 2 1 4 2 4
"760" 5 1 1 1 3 2 8 1 5 2 0
"764" 4 0 2 1 5 4 8 3.5 3.5 2 0
"765" 5 0 1 0 1 7 1 2 4 1 2
"766" 3 1 3 1 4 4 5 2 5 1 0
"767" 7 1 4 1 6 4 11 3 1.5 1.5 3
"770" 4 0 3 1 7 4 4 3 5 2 1
"772" 2 1 4 0 5 4 15 2 4 1 4
"773" 3 1 3 1 3 2 6 3 2 1 2
"776" 4 0 2 1 3 4 8 3 2 1 2
"779" 2 1 2 0 3 3 14 4 2 1 1
"782" 3 0 3 0 5 4 14 3 5 1 3
"784" 1 0 3 1 6 4 10 5 2 3 2
"787" 2 1 2 0 3 4 7 2 4 1 0
"788" 2 0 2 0 7 7 10 5 3 1.5 3
"790" 7 1 3 1 7 6 6 3 5 1 4
"791" 5 0 2 1 6 3 3 3 4 1 0
"792" 4 0 1 0 1 2 5 1 3 3 1
"793" 5 0 3 1 7 3 6 3 1 2 1
"794" 5 1 2 1 6 4 7 3.5 5 3.5 2
"796" 4 1 3 1 2 2 13 1 2 3 0
"797" 2 1 2 0 5 4 8 3 3 3 0
"798" 1 1 1 0 5 4 13 4 2 5 4
"801" 5 1 3 0 7 6 5 4 2 1 4
"802" 3 1 2 0 2 2 6 2 1 5 0
"806" 2 0 2 1 5 4 16 5 2 1 2
"807" 4 0 2 0 7 2 10 4 2 1 4
"808" 1 0 1 0 5 6 11 3 4 1 4
"809" 3 1 4 0 5 5 11 5 3 1 4
"810" 5 1 2 1 1 2 17 1 5 2 1
"811" 3 0 2 0 7 4 9 1 3.5 2 3
"815" 5 1 2 0 6 4 4 2 2 2 1
"817" 5 1 3 0 3 4 14 1 3.5 2 1
"819" 3 1 2 0 5 4 11 2 5 1 0
"822" 3 0 3 0 3 4 11 3.5 5 3.5 3
"824" 3 1 3 1 5 7 8 4 5 1 4
"825" 2 1 4 0 7 6 19 4 3 1 4
"826" 6 1 2 0 5 4 9 4 1 2 4
"828" 5 1 4 1 3 2 11 2 3 1 0
"829" 3 1 3 1 3 6 13 2 3 1 3
"830" 1 0 2 1 5 5 1 4.5 2.5 1 3
"832" 4 0 1 0 6 6 8 5 2 1 4
"835" 3 1 3 0 6 4 8 2 5 1 4
"837" 3 1 2 1 1 2 13 1 2 5 0
"838" 3 0 3 0 5 2 9 3 3 3 4
"839" 6 1 2 0 6 5 10 2 4 1 1
"841" 5 1 2 1 7 3 1 1 5 2 0
"844" 7 1 3 0 1 2 13 3 2 1 1
"846" 3 0 4 0 2 4 16 3 2 5 4
"847" 2 1 4 0 3 4 15 2 3 1 1
"848" 4 1 4 1 6 6 11 2 1 3 4
"852" 5 1 2 1 3 2 7 1 3 2 2
"855" 3 1 3 1 3 4 7 1 5 2 4
"860" 4 1 1 0 7 5 11 3 4 2 0
"863" 5 1 2 1 2 4 19 3.5 1 2 0
"865" 5 1 3 1 3 4 4 2 4 1 2
"866" 5 0 2 0 1 2 8 1 2 3 0
"867" 3 1 2 1 7 5 14 4 1 2 0
"874" 2 1 1 0 2 4 4 1 2 5 0
"875" 4 1 1 1 5 5 8 3 5 1.5 0
"876" 2 0 3 0 6 5 13 5 1 2 4
"879" 5 1 1 0 3 4 11 2 4.5 1 0
"881" 2 1 4 1 1 3 17 2 4 1 1
"883" 3 0 3 1 7 6 9 3 3 3 4
"887" 2 1 3 0 1 3 10 2 3 1 1
"890" 5 1 2 0 7 6 9 3 5 1 4
"892" 6 1 2 1 2 1 8 1 2 3 0
"894" 6 1 2 0 5 2 13 2 4 1 0
"898" 6 1 1 1 3 4 2 1 2.5 2.5 4
"900" 3 0 2 1 2 2 5 2 5 4 1
"902" 5 0 2 0 5 6 8 1 3 2 4
"906" 5 1 3 1 3 3 7 1 4 3 0
"909" 5 0 4 0 7 6 10 4 2 1 4
"911" 6 1 3 0 3 4 11 2 2 2 3
