"Harm1"	"Harm2"	"Harm3"	"Harm4"	"Fair1"	"Fair2"	"Fair3"	"Fair4"	"Ingroup1"	"Ingroup2"	"Ingroup3"	"Ingroup4"	"Auth1"	"Auth2"	"Auth3"	"Auth4"	"Pure1"	"Pure2"	"Pure3"	"Pure4"
"1"	4	2	4	6	2	4	5	4	1	2	4	2	3	2	4	4	6	1	5	3
"2"	4	4	5	5	5	5	5	5	3	3	4	5	2	2	4	2	3	2	2	2
"3"	4	3	3	6	3	3	4	5	2	3	4	4	3	1	4	3	1	1	2	2
"4"	4	6	6	4	5	5	6	6	4	4	3	3	3	2	4	4	2	3	4	2
"5"	5	6	5	6	6	4	6	1	1	3	1	1	1	1	1	1	1	3	1	1
"6"	5	5	5	6	5	5	5	5	3	4	4	4	4	3	5	2	3	4	3	3
"7"	4	4	5	6	4	5	4	5	2	4	6	6	3	3	4	6	4	3	2	5
"8"	5	5	6	6	4	5	5	4	3	3	4	3	3	2	4	5	4	3	4	5
"9"	4	5	6	5	5	5	6	5	2	3	3	4	3	2	1	5	4	1	1	1
"10"	3	5	4	6	4	4	5	3	2	3	2	3	3	2	5	1	4	3	4	4
"11"	6	6	6	6	6	6	6	6	3	5	4	1	5	5	4	2	6	6	5	4
"12"	1	6	5	6	6	4	6	5	1	1	2	3	2	1	2	1	1	3	1	1
"13"	5	1	5	4	1	5	6	6	1	5	6	5	1	4	5	6	6	1	1	6
"14"	4	5	5	2	5	5	6	6	2	2	2	1	2	2	5	2	4	2	2	2
"15"	4	5	4	4	5	6	6	5	1	2	1	1	3	2	4	1	3	3	3	2
"16"	3	4	3	5	4	4	4	4	2	4	3	3	2	3	3	5	3	2	3	2
"17"	5	4	5	6	5	5	6	5	3	5	4	4	4	4	5	4	5	4	4	3
"18"	5	5	6	6	6	4	6	6	3	4	4	5	1	1	4	5	1	1	1	1
"19"	6	5	5	6	2	1	6	6	2	2	3	2	3	2	6	2	6	5	6	5
"20"	6	6	6	6	5	5	5	6	2	5	1	4	2	2	5	6	5	2	2	5
"21"	5	6	6	6	5	4	4	5	3	3	3	4	4	3	5	2	5	4	5	4
"22"	5	3	4	4	6	4	6	4	1	4	4	4	3	4	4	2	2	3	4	4
"23"	4	5	5	6	4	4	5	5	1	3	6	1	3	1	6	1	1	5	6	5
"24"	4	5	5	5	5	6	5	5	5	4	6	5	5	4	6	5	5	5	6	6
"25"	3	3	5	1	3	5	3	4	2	2	5	1	2	1	4	1	1	2	1	1
"26"	3	3	5	6	2	4	6	6	2	3	2	1	6	2	6	4	2	1	2	2
"27"	3	3	4	1	6	6	6	5	2	3	4	3	3	2	5	4	3	3	4	3
"28"	4	5	6	5	6	6	6	6	3	3	2	5	4	1	4	1	2	1	1	1
"29"	4	2	3	6	5	5	5	5	1	3	4	1	3	2	5	2	4	1	4	5
"30"	5	3	4	4	5	6	6	6	3	2	5	3	4	3	5	3	4	2	3	3
"31"	3	4	4	3	4	5	6	5	1	4	4	4	4	3	4	4	3	1	4	4
"32"	5	4	5	1	5	4	5	4	1	1	4	4	1	2	4	4	2	2	2	3
"33"	4	3	4	5	2	2	6	5	5	3	6	3	5	2	5	4	3	2	2	2
"34"	6	5	4	4	5	5	6	5	2	5	2	3	3	2	4	5	3	4	4	4
"35"	3	4	5	5	4	4	5	5	2	3	3	2	3	2	3	2	3	3	4	4
"36"	6	6	6	6	6	5	6	4	3	5	2	5	5	2	6	4	5	4	5	6
"37"	5	6	6	5	6	6	6	6	4	4	4	1	3	3	4	2	4	3	4	4
"38"	1	2	2	2	2	1	2	2	4	4	5	3	4	4	5	5	5	3	4	5
"39"	3	4	4	6	5	5	6	5	2	5	4	2	4	3	4	2	4	2	2	3
"40"	3	4	5	3	4	2	4	5	1	2	5	1	1	2	2	2	2	2	3	1
"41"	5	6	6	3	5	6	5	5	1	2	2	1	2	1	4	1	2	2	2	4
"42"	1	1	1	1	1	1	2	2	4	4	6	3	5	3	3	6	3	4	4	4
"43"	4	3	4	5	4	5	6	4	2	2	4	3	3	2	4	4	3	4	4	4
"44"	4	4	6	5	5	5	6	5	2	2	3	3	3	2	4	1	1	1	4	1
"45"	5	6	5	5	5	4	6	4	2	5	5	5	3	2	6	4	4	4	2	5
"46"	5	5	5	6	6	4	6	4	3	4	1	3	3	3	3	1	3	2	2	1
"47"	4	4	4	5	3	4	4	5	3	4	4	6	4	4	6	5	4	3	4	4
"48"	3	5	5	6	4	4	6	3	1	2	2	2	2	1	4	1	3	3	3	2
"49"	3	5	5	3	4	5	6	5	1	2	1	1	2	2	5	3	3	5	2	1
"50"	5	6	6	6	5	5	6	4	2	3	2	5	1	1	2	2	3	3	4	2
"51"	6	2	4	4	5	4	6	6	4	4	6	3	5	2	6	4	3	2	4	5
"52"	6	4	5	6	5	4	6	5	2	3	4	2	2	3	4	2	2	1	2	2
"53"	3	4	5	4	3	5	4	4	2	2	4	3	2	3	4	3	2	2	2	1
"54"	5	5	5	6	6	5	6	3	2	4	2	4	4	3	4	1	5	3	2	4
"55"	6	5	6	3	5	6	6	6	1	2	5	2	1	1	5	4	6	4	4	5
"56"	6	6	6	6	6	6	6	5	2	2	4	2	1	2	1	1	1	1	1	1
"57"	6	6	5	4	5	5	5	6	2	3	3	4	1	2	2	4	1	2	1	2
"58"	4	3	4	3	4	4	4	4	2	3	2	1	2	2	2	1	2	2	3	2
"59"	5	5	6	6	5	4	6	6	5	4	6	4	3	1	4	1	5	4	4	5
"60"	4	6	6	6	6	6	6	6	3	3	4	1	3	2	3	2	2	1	1	3
"61"	4	6	6	3	6	5	6	6	1	2	1	4	1	2	1	3	4	1	1	2
"62"	2	5	6	2	2	3	4	6	4	4	6	5	5	2	6	6	5	5	4	6
"63"	4	2	4	6	5	6	3	5	2	3	6	2	4	4	6	5	3	2	2	1
"64"	5	4	6	6	5	5	6	6	2	3	4	3	3	2	3	1	2	1	1	1
"65"	5	2	5	4	4	5	6	5	2	4	5	4	3	2	4	1	4	3	2	2
"66"	3	5	6	6	5	5	6	5	3	5	4	5	2	2	5	4	5	5	6	6
"67"	3	2	4	5	4	2	4	4	2	3	3	4	3	2	5	3	3	3	3	2
"68"	5	3	5	5	4	4	4	5	4	4	4	5	2	3	5	5	3	4	5	4
"69"	4	3	3	6	6	5	6	6	2	5	3	1	4	1	5	4	6	3	3	2
"70"	5	4	6	6	4	5	4	4	3	3	5	1	4	3	5	5	2	2	1	1
"71"	4	5	6	6	6	6	6	5	1	4	5	2	1	1	1	1	1	2	1	1
"72"	5	6	6	4	4	4	6	6	1	3	4	3	1	1	4	1	1	1	1	1
"73"	5	5	6	4	4	3	6	6	2	2	6	4	3	2	5	5	2	2	5	4
"74"	4	5	5	3	3	6	6	4	2	6	2	4	4	2	6	6	5	5	5	5
"75"	4	4	5	3	5	5	5	4	1	2	3	5	2	1	2	1	1	1	2	2
"76"	1	1	2	1	4	4	5	3	1	5	5	4	1	1	4	4	4	1	2	2
"77"	2	2	3	3	4	3	3	1	1	1	2	3	1	1	1	4	1	1	2	3
"78"	6	6	6	6	6	6	6	6	4	4	2	4	2	2	2	2	2	2	1	2
