"HarmTotal" "FairTotal" "IngroupTotal" "AuthTotal" "PureTotal" "Control" "TreatP" "TreatIP" "Dem" "Rep" "Ind" "Ideol" "MF" "PartyID" "ExpGroup"
"1" 12 11 5 9 11 1 0 0 1 0 0 3 "Male" "Democrat" "Control"
"2" 14 16 11 6 5 1 0 0 1 0 0 2 "Male" "Democrat" "Control"
"3" 12 11 9 7 2 0 0 1 0 0 1 4 "Male" "Independent" "Party+Ideol"
"4" 16 18 10 9 7 0 1 0 1 0 0 3 "Male" "Democrat" "Party"
"5" 18 13 2 0 2 0 0 1 1 0 0 2 "Female" "Democrat" "Party+Ideol"
"6" 17 16 11 10 9 0 1 0 1 0 0 2 "Female" "Democrat" "Party"
"7" 15 14 14 12 10 0 0 1 0 1 0 7 "Male" "Republican" "Party+Ideol"
"8" 18 14 9 10 12 0 1 0 1 0 0 2 "Male" "Democrat" "Party"
"9" 16 17 8 7 3 0 1 0 1 0 0 3 "Male" "Democrat" "Party"
"10" 14 12 6 7 11 1 0 0 0 0 1 2 "Male" "Independent" "Control"
"11" 20 20 9 12 17 1 0 0 0 0 1 5 "Female" "Independent" "Control"
"12" 14 17 3 2 2 0 1 0 1 0 0 2 "Female" "Democrat" "Party"
"13" 11 14 13 12 10 0 0 1 0 1 0 7 "Male" "Republican" "Party+Ideol"
"14" 12 18 3 7 6 0 0 1 1 0 0 2 "Male" "Democrat" "Party+Ideol"
"15" 13 18 1 6 7 0 0 1 1 0 0 2 "Female" "Democrat" "Party+Ideol"
"16" 11 12 8 9 6 0 1 0 0 1 0 5 "Male" "Republican" "Party"
"17" 16 17 12 13 12 1 0 0 1 0 0 3 "Male" "Democrat" "Control"
"18" 18 18 12 7 0 0 1 0 0 0 1 4 "Male" "Independent" "Party"
"19" 18 11 5 9 18 0 0 1 0 1 0 7 "Female" "Republican" "Party+Ideol"
"20" 20 17 8 11 10 1 0 0 0 1 0 5 "Female" "Republican" "Control"
"21" 19 14 9 10 14 1 0 0 1 0 0 1 "Male" "Democrat" "Control"
"22" 12 16 9 9 9 0 0 1 0 0 0 1 "Female" NA "Party+Ideol"
"23" 16 14 7 7 13 0 1 0 0 0 1 4 "Female" "Independent" "Party"
"24" 15 17 16 16 18 0 1 0 0 1 0 6 "Female" "Republican" "Party"
"25" 8 11 6 4 1 0 1 0 0 0 1 3 "Male" "Independent" "Party"
"26" 13 14 4 14 3 0 0 1 0 0 1 4 "Female" "Independent" "Party+Ideol"
"27" 7 19 8 10 9 0 0 1 0 0 1 3 "Female" "Independent" "Party+Ideol"
"28" 16 20 9 6 1 1 0 0 1 0 0 1 "Female" "Democrat" "Control"
"29" 11 16 5 8 10 1 0 0 0 0 1 4 "Female" "Independent" "Control"
"30" 12 19 9 11 8 1 0 0 1 0 0 2 "Male" "Democrat" "Control"
"31" 10 16 9 11 8 0 1 0 1 0 0 1 "Female" "Democrat" "Party"
"32" 11 14 6 7 5 0 1 0 0 0 1 2 "Male" "Independent" "Party"
"33" 12 11 13 12 5 1 0 0 0 0 1 4 "Male" "Independent" "Control"
