"Sex" "RepubChoice" "DemChoice"
"1" "Female" "Trump" "Sanders"
"2" "Male" "Trump" "Clinton"
"3" "Male" "Trump" "Clinton"
"4" "Female" "Trump" "Clinton"
"5" "Male" "Trump" "Clinton"
"6" "Male" "Trump" "Clinton"
"7" "Female" "Trump" "Sanders"
"8" "Male" "Trump" "Clinton"
"9" "Male" "Trump" "Sanders"
"10" "Male" "Trump" "Clinton"
"11" "Female" "Cruz" "Sanders"
"12" "Male" "Trump" "Clinton"
"13" "Female" "Other" "Clinton"
"14" "Male" "Cruz" "Sanders"
"15" "Male" "Trump" "Clinton"
"16" "Male" "Trump" "Clinton"
"17" "Male" "Trump" "Sanders"
"18" "Male" "Trump" "Clinton"
"19" "Male" "Trump" "Clinton"
"20" "Female" "Trump" "Sanders"
"21" "Female" "Cruz" "Sanders"
"22" "Male" "Cruz" "Sanders"
"23" "Male" "Cruz" "Sanders"
"24" "Male" "Other" "Clinton"
"25" "Female" "Trump" "Clinton"
"26" "Male" "Cruz" "Sanders"
"27" "Male" "Trump" "Clinton"
"28" "Male" "Cruz" "Sanders"
"29" "Male" "Trump" "Clinton"
"30" "Male" "Cruz" "Sanders"
"31" "Female" "Cruz" "Sanders"
"32" "Female" "Cruz" "Sanders"
"33" "Male" "Trump" "Sanders"
"34" "Male" "Trump" "Clinton"
"35" "Female" "Cruz" "Sanders"
"36" "Male" "Cruz" "Sanders"
"37" "Male" "Cruz" "Sanders"
"38" "Male" "Other" "Clinton"
"39" "Female" "Trump" "Clinton"
"40" "Male" "Other" "Clinton"
"41" "Female" "Trump" "Clinton"
"42" "Female" "Trump" "Clinton"
"43" "Male" "Trump" "Sanders"
"44" "Female" "Other" "Clinton"
"45" "Female" "Cruz" "Sanders"
"46" "Male" "Trump" "Clinton"
"47" "Female" "Trump" "Clinton"
"48" "Female" "Cruz" "Sanders"
"49" "Female" "Trump" "Clinton"
"50" "Male" "Trump" "Sanders"
"51" "Female" "Cruz" "Sanders"
"52" "Male" "Trump" "Sanders"
"53" "Male" "Trump" "Sanders"
"54" "Male" "Other" "Clinton"
"55" "Female" "Trump" "Clinton"
"56" "Female" "Trump" "Clinton"
"57" "Male" "Trump" "Clinton"
"58" "Male" "Trump" "Clinton"
"59" "Male" "Trump" "Clinton"
"60" "Male" "Cruz" "Sanders"
"61" "Female" "Trump" "Sanders"
"62" "Female" "Trump" "Sanders"
"63" "Female" "Cruz" "Sanders"
"64" "Male" "Trump" "Sanders"
"65" "Male" "Trump" "Clinton"
"66" "Male" "Cruz" "Sanders"
"67" "Female" "Trump" "Sanders"
"68" "Female" "Trump" "Clinton"
"69" "Male" "Trump" "Clinton"
"70" "Male" "Trump" "Clinton"
"71" "Female" "Trump" "Clinton"
"72" "Female" "Trump" "Clinton"
"73" "Female" "Cruz" "Sanders"
"74" "Male" "Trump" "Clinton"
"75" "Female" "Trump" "Clinton"
"76" "Female" "Trump" "Clinton"
"77" "Male" "Trump" "Clinton"
"78" "Male" "Trump" "Sanders"
"79" "Female" "Trump" "Clinton"
"80" "Male" "Cruz" "Sanders"
"81" "Female" "Trump" "Clinton"
"82" "Male" "Trump" "Sanders"
"83" "Female" "Trump" "Clinton"
"84" "Female" "Trump" "Clinton"
"85" "Male" "Trump" "Clinton"
"86" "Female" "Other" "Clinton"
"87" "Male" "Trump" "Clinton"
"88" "Male" "Trump" "Clinton"
"89" "Male" "Cruz" "Sanders"
"90" "Male" "Cruz" "Sanders"
"91" "Male" "Trump" "Sanders"
"92" "Male" "Trump" "Sanders"
"93" "Male" "Cruz" "Sanders"
"94" "Male" "Trump" "Clinton"
"95" "Female" "Cruz" "Sanders"
"96" "Male" "Trump" "Clinton"
"97" "Male" "Trump" "Clinton"
"98" "Female" "Cruz" "Sanders"
"99" "Male" "Other" "Clinton"
"100" "Female" "Trump" "Sanders"
"101" "Male" "Trump" "Clinton"
"102" "Female" "Other" "Clinton"
"103" "Female" "Other" "Clinton"
"104" "Male" "Trump" "Clinton"
"105" "Female" "Trump" "Sanders"
"106" "Male" "Trump" "Clinton"
"107" "Female" "Trump" "Sanders"
"108" "Male" "Trump" "Clinton"
"109" "Female" "Other" "Clinton"
"110" "Female" "Other" "Clinton"
"111" "Male" "Trump" "Sanders"
"112" "Male" "Cruz" "Sanders"
"113" "Female" "Trump" "Clinton"
"114" "Male" "Trump" "Clinton"
"115" "Female" "Cruz" "Sanders"
"116" "Female" "Other" "Clinton"
"117" "Male" "Other" "Clinton"
"118" "Male" "Other" "Clinton"
"119" "Male" "Cruz" "Sanders"
"120" "Female" "Trump" "Sanders"
"121" "Female" "Other" "Clinton"
"122" "Male" "Trump" "Sanders"
"123" "Female" "Cruz" "Sanders"
"124" "Male" "Other" "Clinton"
"125" "Female" "Cruz" "Sanders"
"126" "Female" "Trump" "Clinton"
"127" "Male" "Cruz" "Sanders"
