"freedom" "equality" "econ.sec" "law.order" "female" "nonwhite" "educ4" "hhinc4" "cons" "post911"
"1" 1.5 3.5 3.5 1.5 1 0 1 2 3 0
"2" 2 4 2 2 1 0 1 4 6 0
"3" 2.5 2.5 2.5 2.5 0 0 NA NA NA 0
"4" 1 3 3 3 0 0 1 3 NA 0
"5" 2.5 2.5 2.5 2.5 0 0 NA NA NA 0
"6" 2 3 1 4 1 1 4 1 NA 0
"7" 3 2 4 1 1 0 4 4 NA 0
"8" 2 3 4 1 0 1 3 3 7 0
"9" 2 1 4 3 1 0 4 4 3 0
"10" 2 3 4 1 0 1 4 4 6 0
"11" 1 2 3 4 1 0 4 3 6 0
"12" 2 1 3.5 3.5 1 0 3 4 2 0
"13" 1 2 3 4 0 0 2 4 2 0
"14" 2.5 2.5 2.5 2.5 0 0 NA NA NA 0
"15" 1 2 3 4 0 1 NA NA NA 0
"16" 1 2 4 3 1 0 2 4 NA 0
"17" 1 2 3 4 0 0 3 2 6 0
"18" 2 4 3 1 0 0 4 3 1 0
"19" 3.5 1.5 3.5 1.5 0 0 3 4 3 0
"20" 3 2 4 1 1 0 3 1 2 0
"21" 4 3 1 2 1 0 2 4 1 0
"22" 1.5 1.5 3.5 3.5 0 0 2 2 NA 0
"23" 2 4 3 1 0 1 3 4 NA 0
"24" 2 1 4 3 1 0 NA NA NA 0
"25" 4 1 3 2 1 0 2 1 6 0
"26" 2 3 1 4 0 0 3 1 3 0
"27" 2 3 4 1 1 0 3 4 4 0
"28" 3 3 3 1 1 0 2 1 NA 0
"29" 4 1 3 2 1 0 3 3 NA 0
"30" 1 3 4 2 1 0 2 2 NA 0
"31" 2 3 4 1 1 0 2 1 NA 0
"32" 1 3 3 3 0 0 4 3 5 0
"33" 4 2 3 1 1 0 4 3 7 0
"34" 3.5 1.5 1.5 3.5 0 1 1 2 NA 0
"35" 3.5 1.5 1.5 3.5 1 0 4 4 6 0
"36" 1 3 3 3 0 0 4 4 7 0
"37" 2 3 4 1 0 0 1 4 5 0
"38" 2 3 4 1 0 0 2 4 7 0
"39" 4 1 2 3 1 0 4 2 5 0
"40" 3 4 2 1 1 0 4 1 1 0
"41" 2 3 1 4 0 0 4 2 7 0
"42" 1 4 3 2 1 1 1 1 7 0
"43" 3 3 3 1 0 1 2 1 4 0
"44" 1.5 1.5 3.5 3.5 0 0 3 4 5 0
"45" 4 3 1 2 0 0 4 3 5 0
"46" 1 4 2 3 1 0 3 4 NA 0
"47" 3 1 2 4 1 1 NA NA NA 0
"48" 2 3 4 1 0 0 2 2 1 0
"49" 3 2 4 1 0 0 2 4 6 0
"50" 1 3 4 2 1 0 3 3 NA 0
"51" 1.5 3.5 3.5 1.5 1 0 1 2 NA 0
"52" 3 2 1 4 0 0 4 4 5 0
"53" 2 2 2 4 1 0 2 1 NA 0
"54" 2 1 3 4 1 0 1 1 NA 0
"55" 1 4 2 3 0 0 3 4 NA 0
"56" 3 1 2 4 0 1 2 1 7 0
"57" 3 3 3 1 0 1 1 1 NA 0
"58" 3 3 3 1 1 1 NA NA NA 0
"59" 3 4 1 2 1 1 2 3 NA 0
"60" 3 4 1 2 1 0 4 1 1 0
"61" 4 3 2 1 0 0 3 4 2 0
"62" 2 1 4 3 0 0 4 4 6 0
"63" 3 4 2 1 0 0 2 2 5 0
"64" 1 2 4 3 1 1 3 2 NA 0
"65" 4 1 2 3 0 0 2 4 4 0
"66" 2 1 4 3 0 0 4 4 3 0
"67" 3 4 1 2 0 1 2 4 NA 0
"68" 2 1 3 4 1 0 4 4 NA 0
"69" 3 3 3 1 0 0 2 3 5 0
"70" 1 2 3 4 0 0 3 2 NA 0
"71" 1 2 3 4 0 0 3 4 7 0
"72" 4 2 2 2 0 0 4 4 3 0
"73" 1 3 4 2 1 0 4 1 2 0
"74" 3 1.5 4 1.5 1 0 1 1 NA 0
"75" 1.5 3.5 3.5 1.5 0 0 3 3 NA 0
"76" 1.5 3.5 1.5 3.5 1 1 4 4 1 0
"77" 4 2 1 3 0 0 4 4 2 0
"78" 1 4 3 2 1 0 3 4 1 0
"79" 4 1 2 3 1 0 4 4 5 0
"80" 1 3 4 2 0 0 4 2 2 0
"81" 2 4 3 1 0 0 4 2 5 0
"82" 2 4 3 1 1 0 2 2 NA 0
"83" 1 2 3 4 0 0 4 3 6 0
"84" 1 3 4 2 1 1 4 2 NA 0
"85" 3 3 3 1 0 0 2 3 7 0
"86" 2 2 2 4 0 1 1 1 NA 0
"87" 3 2 1 4 1 0 4 3 1 0
"88" 2 4 3 1 1 1 NA NA NA 0
"89" 3 2 4 1 1 0 3 2 3 0
"90" 2 3.5 3.5 1 1 0 1 1 NA 0
"91" 2.5 2.5 2.5 2.5 0 0 NA NA NA 0
"92" 2 3 4 1 1 0 3 1 NA 0
"93" 2 2 2 4 0 0 4 4 3 0
"94" 2 2 2 4 1 0 3 2 3 0
"95" 1 3 4 2 1 0 2 1 NA 0
"96" 3.5 3.5 1.5 1.5 1 0 NA NA NA 0
"97" 4 2 3 1 1 0 4 NA 3 0
"98" 1 3 4 2 0 0 4 4 2 0
"99" 4 1 3 2 0 0 4 2 6 0
"100" 2 2 4 2 0 0 2 4 NA 0
"101" 4 2 3 1 0 0 3 4 7 0
"102" 4 1 2 3 0 0 4 4 5 0
"103" 1 2 4 3 1 0 3 2 2 0
"104" 3 3 3 1 1 0 2 4 NA 0
"105" 2 4 3 1 1 0 2 3 6 0
"106" 1 2 3 4 1 1 3 4 3 0
"107" 4 1 2 3 0 1 3 4 5 0
"108" 2 1 4 3 0 0 3 3 7 0
"109" 1 4 2 3 1 0 2 2 NA 0
"110" 4 2 1 3 0 0 3 2 5 0
"111" 2.5 2.5 2.5 2.5 1 0 NA NA NA 0
"112" 2.5 2.5 2.5 2.5 0 0 NA NA NA 0
"113" 1 3 4 2 0 1 3 4 3 0
"114" 4 2 1 3 1 0 4 4 5 0
"115" 2 1 4 3 1 0 2 2 NA 0
"116" 4 1 3 2 0 0 4 4 NA 0
"117" 2 4 3 1 0 0 4 2 5 0
"118" 1 3 3 3 0 1 2 3 7 0
"119" 1 2 3 4 1 0 1 1 NA 0
"120" 2 3 4 1 1 0 2 2 NA 0
"121" 2 2 2 4 0 1 3 3 NA 0
"122" 4 2 3 1 0 0 1 2 NA 0
"123" 1 3 2 4 0 0 4 4 7 0
"124" 3 4 2 1 1 1 1 1 3 0
"125" 3 3 3 1 1 0 3 4 7 0
"126" 4 3 1 2 0 0 4 4 1 0
"127" 2 3 4 1 0 1 3 2 7 0
"128" 4 2 3 1 1 0 2 2 7 0
"129" 2.5 2.5 2.5 2.5 1 0 NA NA NA 0
"130" 4 2 1 3 1 0 4 2 3 0
"131" 2.5 2.5 4 1 1 0 2 1 6 0
"132" 2.5 2.5 2.5 2.5 1 0 NA NA NA 0
"133" 4 3 1 2 0 0 4 4 NA 0
"134" 2 3 1 4 1 0 2 1 7 0
"135" 2 3 4 1 0 0 3 3 NA 0
"136" 2 4 2 2 1 0 3 3 NA 0
"137" 4 2 2 2 1 0 2 2 7 0
"138" 1 4 3 2 0 0 2 4 2 0
"139" 4 1 2 3 1 0 4 2 5 0
"140" 4 1 2 3 0 0 3 2 2 0
"141" 1 2 3.5 3.5 1 0 4 2 3 0
