"male.voice" "leader" "protect" "poor"
"1" 1 2 1 1
"2" 0 5 5 5
"3" 1 3 3 2
"4" 0 5 5 5
"5" 0 1 1 1
"6" 0 5 5 5
"7" 1 5 5 5
"8" 1 3 3 2
"9" 1 1 1 1
"10" 0 5 5 5
"11" 1 1 1 1
"12" 0 1 1 2
"13" 1 5 5 4
"14" 0 4 4 4
"15" 1 2 2 2
"16" 0 3 3 3
"17" 1 4 4 3
"18" 0 3 3 4
"19" 0 5 5 5
"20" 1 1 1 1
"21" 1 1 1 1
"22" 1 1 1 1
"23" 0 1 1 1
"24" 0 1 1 1
"25" 1 5 5 5
"26" 0 4 4 5
"27" 0 2 2 2
"28" 1 3 2 1
"29" 1 5 5 5
"30" 0 1 1 1
"31" 0 5 5 5
"32" 1 1 1 1
"33" 0 1 1 1
"34" 1 5 5 4
"35" 0 1 1 1
"36" 1 3 3 2
"37" 0 1 1 1
"38" 0 3 3 3
"39" 1 5 5 5
"40" 1 3 3 3
"41" 1 5 5 4
"42" 1 5 5 5
"43" 0 1 1 1
"44" 0 1 1 1
"45" 0 3 3 5
"46" 0 1 1 1
"47" 1 2 1 1
"48" 1 5 5 5
"49" 0 1 1 1
"50" 0 2 2 2
"51" 0 1 1 1
"52" 0 1 1 1
"53" 0 5 5 5
"54" 1 1 1 1
"55" 1 5 5 5
"56" 1 4 4 3
"57" 0 3 3 3
"58" 1 1 1 1
"59" 1 1 1 1
"60" 1 5 5 5
"61" 1 5 5 5
"62" 0 1 1 1
"63" 0 2 2 3
"64" 1 1 1 1
"65" 1 1 1 1
"66" 1 2 2 2
"67" 1 5 5 5
"68" 1 5 5 5
"69" 0 3 3 3
"70" 1 5 5 5
"71" 0 1 1 2
"72" 0 4 4 5
"73" 1 1 1 1
"74" 1 5 5 5
"75" 0 5 5 5
"76" 1 1 1 1
"77" 1 3 2 2
"78" 0 4 5 5
"79" 0 5 5 5
"80" 0 5 5 5
"81" 0 3 3 3
"82" 1 1 1 1
"83" 0 1 1 1
"84" 1 2 2 2
"85" 1 1 1 1
"86" 0 1 1 1
"87" 0 4 4 4
"88" 0 2 2 3
"89" 1 5 5 5
"90" 1 2 2 1
"91" 0 1 1 1
"92" 0 3 4 4
"93" 1 1 1 1
"94" 1 5 4 4
"95" 0 2 2 3
"96" 0 1 1 1
"97" 0 1 1 2
"98" 1 2 2 1
"99" 1 1 1 1
"100" 0 5 5 5
"101" 0 1 1 1
"102" 1 5 5 5
"103" 1 5 5 5
"104" 0 5 5 5
"105" 0 1 1 1
"106" 0 4 4 5
"107" 1 5 5 5
"108" 0 1 1 2
"109" 0 3 3 3
"110" 1 5 5 5
"111" 0 2 2 2
"112" 0 5 5 5
"113" 1 5 5 4
"114" 0 5 5 5
"115" 1 1 1 1
